Gene,logFC,t_stat,p_value,q_value
1007_s_at,,0.0,1.0,1.0
1053_at,,0.0,1.0,1.0
117_at,,0.0,1.0,1.0
1294_at,,0.0,1.0,1.0
1316_at,,0.0,1.0,1.0
1405_i_at,,0.0,1.0,1.0
1438_at,,0.0,1.0,1.0
1487_at,,0.0,1.0,1.0
1552256_a_at,,0.0,1.0,1.0
1552257_a_at,,0.0,1.0,1.0
1552258_at,,0.0,1.0,1.0
1552263_at,,0.0,1.0,1.0
1552264_a_at,,0.0,1.0,1.0
1552266_at,,0.0,1.0,1.0
1552274_at,,0.0,1.0,1.0
1552275_s_at,,0.0,1.0,1.0
1552277_a_at,,0.0,1.0,1.0
1552279_a_at,,0.0,1.0,1.0
1552283_s_at,,0.0,1.0,1.0
1552286_at,,0.0,1.0,1.0
1552287_s_at,,0.0,1.0,1.0
1552288_at,,0.0,1.0,1.0
1552289_a_at,,0.0,1.0,1.0
1552291_at,,0.0,1.0,1.0
1552295_a_at,,0.0,1.0,1.0
1552301_a_at,,0.0,1.0,1.0
1552302_at,,0.0,1.0,1.0
1552303_a_at,,0.0,1.0,1.0
1552306_at,,0.0,1.0,1.0
1552307_a_at,,0.0,1.0,1.0
1552309_a_at,,0.0,1.0,1.0
1552310_at,,0.0,1.0,1.0
1552311_a_at,,0.0,1.0,1.0
1552312_a_at,,0.0,1.0,1.0
1552315_at,,0.0,1.0,1.0
1552316_a_at,,0.0,1.0,1.0
1552318_at,,0.0,1.0,1.0
1552319_a_at,,0.0,1.0,1.0
1552325_at,,0.0,1.0,1.0
1552327_at,,0.0,1.0,1.0
1552329_at,,0.0,1.0,1.0
1552330_at,,0.0,1.0,1.0
1552332_at,,0.0,1.0,1.0
1552334_at,,0.0,1.0,1.0
1552343_s_at,,0.0,1.0,1.0
1552344_s_at,,0.0,1.0,1.0
1552347_at,,0.0,1.0,1.0
1552348_at,,0.0,1.0,1.0
1552349_a_at,,0.0,1.0,1.0
1552360_a_at,,0.0,1.0,1.0
1552362_a_at,,0.0,1.0,1.0
1552364_s_at,,0.0,1.0,1.0
1552365_at,,0.0,1.0,1.0
1552367_a_at,,0.0,1.0,1.0
1552370_at,,0.0,1.0,1.0
1552378_s_at,,0.0,1.0,1.0
1552383_at,,0.0,1.0,1.0
1552389_at,,0.0,1.0,1.0
1552390_a_at,,0.0,1.0,1.0
1552398_a_at,,0.0,1.0,1.0
1552399_a_at,,0.0,1.0,1.0
1552417_a_at,,0.0,1.0,1.0
1552423_at,,0.0,1.0,1.0
1552426_a_at,,0.0,1.0,1.0
1552427_at,,0.0,1.0,1.0
1552467_at,,0.0,1.0,1.0
1552472_a_at,,0.0,1.0,1.0
1552473_at,,0.0,1.0,1.0
1552474_a_at,,0.0,1.0,1.0
1552477_a_at,,0.0,1.0,1.0
1552478_a_at,,0.0,1.0,1.0
1552482_at,,0.0,1.0,1.0
1552485_at,,0.0,1.0,1.0
1552486_s_at,,0.0,1.0,1.0
1552496_a_at,,0.0,1.0,1.0
1552502_s_at,,0.0,1.0,1.0
1552504_a_at,,0.0,1.0,1.0
1552507_at,,0.0,1.0,1.0
1552508_at,,0.0,1.0,1.0
1552509_a_at,,0.0,1.0,1.0
1552516_a_at,,0.0,1.0,1.0
1552518_s_at,,0.0,1.0,1.0
1552519_at,,0.0,1.0,1.0
1552532_a_at,,0.0,1.0,1.0
1552536_at,,0.0,1.0,1.0
1552542_s_at,,0.0,1.0,1.0
1552573_s_at,,0.0,1.0,1.0
1552575_a_at,,0.0,1.0,1.0
1552578_a_at,,0.0,1.0,1.0
1552584_at,,0.0,1.0,1.0
1552602_at,,0.0,1.0,1.0
1552610_a_at,,0.0,1.0,1.0
1552611_a_at,,0.0,1.0,1.0
1552612_at,,0.0,1.0,1.0
1552613_s_at,,0.0,1.0,1.0
1552617_a_at,,0.0,1.0,1.0
1552618_at,,0.0,1.0,1.0
1552619_a_at,,0.0,1.0,1.0
1552621_at,,0.0,1.0,1.0
1552622_s_at,,0.0,1.0,1.0
1552623_at,,0.0,1.0,1.0
1552625_a_at,,0.0,1.0,1.0
1552626_a_at,,0.0,1.0,1.0
1552627_a_at,,0.0,1.0,1.0
1552628_a_at,,0.0,1.0,1.0
1552632_a_at,,0.0,1.0,1.0
1552633_at,,0.0,1.0,1.0
1552634_a_at,,0.0,1.0,1.0
1552639_at,,0.0,1.0,1.0
1552641_s_at,,0.0,1.0,1.0
1552643_at,,0.0,1.0,1.0
1552644_a_at,,0.0,1.0,1.0
1552648_a_at,,0.0,1.0,1.0
1552656_s_at,,0.0,1.0,1.0
1552658_a_at,,0.0,1.0,1.0
1552660_a_at,,0.0,1.0,1.0
1552663_a_at,,0.0,1.0,1.0
1552664_at,,0.0,1.0,1.0
1552670_a_at,,0.0,1.0,1.0
1552671_a_at,,0.0,1.0,1.0
1552677_a_at,,0.0,1.0,1.0
1552678_a_at,,0.0,1.0,1.0
1552680_a_at,,0.0,1.0,1.0
1552685_a_at,,0.0,1.0,1.0
1552691_at,,0.0,1.0,1.0
1552696_at,,0.0,1.0,1.0
1552701_a_at,,0.0,1.0,1.0
1552703_s_at,,0.0,1.0,1.0
1552711_a_at,,0.0,1.0,1.0
1552716_at,,0.0,1.0,1.0
1552717_s_at,,0.0,1.0,1.0
1552719_at,,0.0,1.0,1.0
1552727_s_at,,0.0,1.0,1.0
1552729_at,,0.0,1.0,1.0
